기업명 (코드),Environment,Society,Governance
한샘 (009240),환경경영,"고객감동 경영, 인재경영, 안전경영, 상생경영, 지역사회 참여","지배구조, 윤리경영, 통합리스크 관리"
금호타이어 (073240),"기후변화 대응, 친환경 사업장 구축, 친환경 타이어 확대","행복한 일터 (인재경영, 인권경영, 조직문화), 안전한 사업장 (안전보건 고도화, 화학물질 관리), 포용적 상생협력 (지속가능한 공급망, 사회공헌)","지배구조, 컴플라이언스, 정보보안, 리스크 관리"
락앤락 (115390),탄소중립을 향한 에너지경영 실천,지구와 사람을 위한 안전한 제품 생산,건전한 지배구조 정착
대한유화 (006650),"친환경 사업 포트폴리오 관리, 환경경영 고도화","안전보건 리스크관리, 공급망 책임 관리","ESG전략체계 운영/관리, 지배구조 체계 강화"
롯데칠성음료 (005300,"기후변화 위험 및 기회, 환경경영체계 및 탄소중립, 기후변화 대응, 수자원 관리, 자원순환 경제 구축","고객의 건강과 영양, 제품안전 및 품질, 지속가능한 공급망 관리, 동반성장을 위한 상생 프로그램, 인권경영, 인재경영, 직원 가치 증대, 사회 공헌, 산업안전 강화","투명한 기업공개, 지배구조 건전성, 전사적 리스크 관리, 윤리경영, 정보보호"
현대위아 (011210),"기후변화 대응, 환경영향 최소화","미래가치 창출, 안전보건경영, 협력사 상생발전, 임직원, CSR 강하, 고객만족, 인권보호 , 정보보호","Risk Management, 지배구조"
LG에너지솔루션 (373220),,"사회공헌, 동반성장, Global Initiative, Communication, 정보보안, 정도경영, Health&Safety(EH&S)",Compliance
BNK금융지주 (138930),환경 관리 고도화,"여신 및 투자 ESG 반영, 지속가능 기업문화 정비, 포용적 금융 실현, 지역 상생활동 강화, 윤리적 책임 이행, 리스크 관리, 고객 만족 및 권리 보호, 금융사고 예방 및 디지털 보안",지속가능 거버넌스 구축
지역난방공사 (071320),"환경경영, 기술개발혁신, 기후변화 대응, 신재생에너지","휴먼 캐피탈, 일과 삶 균형, 노사관계, 안전보건, 인권경영, 상생협력, 고객만족, 정보보호 및 정보공개, 사회공헌, 일자리 창출","투명한 지배구조, 윤리경영, 리스크 관리"
유한양행 (000100),친환경경영,"안전보건경영, 인재경영, 인권경영, 상생경영, 고객만족경영, 사회공헌, 정보보호","지배구조, 리스크 관리, 컴플라이언스"
